QR Clasification,Origin,DPOw,Object,Field,Secondary Object,Secondary Field,Drive configs,ID Rule,Type of Rule,Rule description,Request Date,Implantation Type,Status,Comments,Delivery Date,Conf SDM - Components Name,TEAM,STATUS DEVELOPMENT,version  FINISHED,DEFINITION PERIOD,CATALOG,"Is Critical 
(True/False)",Parameters,Url conf,Url Extralibs
DOMAIN,Stock,DPOw Client Solutions,t_p68x_queue_hierarchy,g_routing_method_type,,,  ,2837535d74,3.5-Checking the value of the data in the catalog (Value against catalog),The field must be informed with one of the values ​​from its E354 catalog,,Local,DELIVERED, ,06/11/2024,P68X_queue-hierarchy_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.1.0,3Q24,E354 ,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/p68x_hamm/15.1.0/hammurabi/confs/master/p68x/P68X_queue-hierarchy_MRField.conf,
DOMAIN,Stock,DPOw Client Solutions,t_p68x_queue_hierarchy,gf_mx_queue_users_number,,,  ,2836f192e6,3.4-Checking the data value within the expected range (value within a range),Must be greater than or equal to 0,,Local,DELIVERED, ,06/11/2024,P68X_queue-hierarchy_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.1.0,3Q24,N/A,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/p68x_hamm/15.1.0/hammurabi/confs/master/p68x/P68X_queue-hierarchy_MRField.conf,
DOMAIN,Stock,DPOw Client Solutions,t_p68x_queue_hierarchy,gf_after_call_work_ms_number,,,  ,2836f19365,3.4-Checking the data value within the expected range (value within a range),Must be greater than or equal to 0,,Local,DELIVERED, ,06/11/2024,P68X_queue-hierarchy_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.1.0,3Q24,N/A,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/p68x_hamm/15.1.0/hammurabi/confs/master/p68x/P68X_queue-hierarchy_MRField.conf,
DOMAIN,Stock,DPOw Client Solutions,t_j7il_atm_session_message,g_data_source_origin_type,,,  ,2836f193f4,3.5-Checking the value of the data in the catalog (Value against catalog),The field must be informed with one of the values ​​from its D056 catalog,,Local,DELIVERED, ,06/11/2024,J7IL_atm-session-message_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.1.0,3Q24,D056,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/j7il_hamm/15.1.0/hammurabi/confs/master/j7il/J7IL_atm-session-message_MRField.conf,
DOMAIN,Stock,DPOw Client Solutions,t_j7il_atm_session_message,g_entity_id,t_kcog_entity,,  ,2836f194af,4.3-Reconciliation of the same data between different tables / repositories at the same moment of time (accounting reconciliation / referential integrity),Check that the value of the g_entity_id field is in the g_entity_id field in the master table t_kcog_entity,,Local,DELIVERED, ,06/11/2024,J7IL_atm-session-message_KCOG_entity_MMRule.conf,CLIENT SOLUTIONS,FINISHED,15.1.0,3Q24,N/A,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/j7il_hamm/15.1.0/hammurabi/confs/master/j7il/J7IL_atm-session-message_KCOG_entity_MMRule.conf,
DOMAIN,Stock,DPOw Client Solutions,t_j7il_atm_session_message,gf_session_start_date,,,  ,2836f19533,5.3-Comparison between different values ​​of data related to each other (data in the same object): Logical comparison between two fields or expresions are in the same object,Previous or equal to gf_cutoff_date,,Local,DELIVERED, ,06/11/2024,J7IL_atm-session-message_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.1.0,3Q24,N/A,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/j7il_hamm/15.1.0/hammurabi/confs/master/j7il/J7IL_atm-session-message_MRField.conf,
DOMAIN,Stock,DPOw Client Solutions,t_j7il_atm_session_message,g_atm_disp_msg_loc_type,,,  ,2836f195ca,3.5-Checking the value of the data in the catalog (Value against catalog),The field must be informed with one of the values ​​from its E491 catalog,,Local,DELIVERED, ,06/11/2024,J7IL_atm-session-message_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.1.0,3Q24,E491,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/j7il_hamm/15.1.0/hammurabi/confs/master/j7il/J7IL_atm-session-message_MRField.conf,
DOMAIN,Stock,DPOw Client Solutions,t_j7il_atm_session_message,g_atm_disp_msg_type,,,  ,2836f1964a,3.5-Checking the value of the data in the catalog (Value against catalog),The field must be informed with one of the values ​​from its E451 catalog,,Local,DELIVERED, ,06/11/2024,J7IL_atm-session-message_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.1.0,3Q24,E451,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/j7il_hamm/15.1.0/hammurabi/confs/master/j7il/J7IL_atm-session-message_MRField.conf,
DOMAIN,Stock,DPOw Client Solutions,t_j7il_atm_session_message,g_atm_disp_msg_rt_type,,,  ,2836f196d3,3.5-Checking the value of the data in the catalog (Value against catalog),The field must be informed with one of the values ​​from its E450 catalog,,Local,DELIVERED, ,06/11/2024,J7IL_atm-session-message_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.1.0,3Q24,E450,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/j7il_hamm/15.1.0/hammurabi/confs/master/j7il/J7IL_atm-session-message_MRField.conf,
DOMAIN,Modified,DPOw Client Solutions,t_kceg_customer_products,g_main_holder_customer_type,t_ksan_eom_domestic_interveners, g_main_holder_customer_type,  ,28375a6f0f,4.3-Reconciliation of the same data between different tables / repositories at the same moment of time (accounting reconciliation / referential integrity),Validate that the g_main_holder_customer_type field corresponds to the one in the t_ksan_eom_domestic_interveners g_main_holder_customer_type table,,Local,DELIVERED, ,04/03/2025,KCEG_customer-products_KSAN_eom-domestic-interveners_MMRule.conf,CLIENT SOLUTIONS,FINISHED,16.0.5,1Q25,N/A,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kceg_hamm/16.0.5/hammurabi/confs/master/kceg/KCEG_customer-products_KSAN_eom-domestic-interveners_MMRule.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kpan_d_c_form_opportunity,g_entity_id,,,  ,GL_MVP_t_kpan_d_c_form_opportunity_3.1_000,3.1-Checking the null data value (NULL or empty value),The field g_entity_id from the object t_kpan_d_c_form_opportunity must be informed,,Local,DELIVERED, ,30/09/2024,KPAN_d-c-form-opportunity_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.0.4,3Q24,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kpan_hamm/15.0.4/hammurabi/confs/master/kpan/KPAN_d-c-form-opportunity_MRField.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kpan_d_c_form_opportunity,gf_opportunity_id,,,  ,GL_MVP_t_kpan_d_c_form_opportunity_3.1_001,3.1-Checking the null data value (NULL or empty value),The field gf_opportunity_id from the object t_kpan_d_c_form_opportunity must be informed,,Local,DELIVERED, ,30/09/2024,KPAN_d-c-form-opportunity_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.0.4,3Q24,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kpan_hamm/15.0.4/hammurabi/confs/master/kpan/KPAN_d-c-form-opportunity_MRField.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kpan_d_c_form_opportunity,g_data_source_origin_type,,,  ,GL_MVP_t_kpan_d_c_form_opportunity_3.1_002,3.1-Checking the null data value (NULL or empty value),The field g_data_source_origin_type from the object t_kpan_d_c_form_opportunity must be informed,,Local,DELIVERED, ,30/09/2024,KPAN_d-c-form-opportunity_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.0.4,3Q24,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kpan_hamm/15.0.4/hammurabi/confs/master/kpan/KPAN_d-c-form-opportunity_MRField.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kpan_d_c_form_opportunity,g_entity_id,,,  ,GL_MVP_t_kpan_d_c_form_opportunity_3.2_000,3.2-Checking the format of the field (Data type and format),The data value complies with the required format: ALPHANUMERIC(6),,Local,DELIVERED, ,30/09/2024,KPAN_d-c-form-opportunity_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.0.4,3Q24,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kpan_hamm/15.0.4/hammurabi/confs/master/kpan/KPAN_d-c-form-opportunity_MRField.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kpan_d_c_form_opportunity,gf_opportunity_id,,,  ,GL_MVP_t_kpan_d_c_form_opportunity_3.2_001,3.2-Checking the format of the field (Data type and format),The data value complies with the required format: ALPHANUMERIC(50),,Local,DELIVERED, ,30/09/2024,KPAN_d-c-form-opportunity_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.0.4,3Q24,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kpan_hamm/15.0.4/hammurabi/confs/master/kpan/KPAN_d-c-form-opportunity_MRField.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kpan_d_c_form_opportunity,g_data_source_origin_type,,,  ,GL_MVP_t_kpan_d_c_form_opportunity_3.2_002,3.2-Checking the format of the field (Data type and format),The data value complies with the required format: ALPHANUMERIC(8),,Local,DELIVERED, ,30/09/2024,KPAN_d-c-form-opportunity_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.0.4,3Q24,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kpan_hamm/15.0.4/hammurabi/confs/master/kpan/KPAN_d-c-form-opportunity_MRField.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kpan_d_c_form_opportunity,g_data_source_origin_type,,,  ,2849692d08,3.5-Checking the value of the data in the catalog (Value against catalog),"This field must have one of the values ​​recorded in your catalog
D056",,Local,DELIVERED, ,06/11/2024,KPAN_d-c-form-opportunity_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.1.0,3Q24,D056,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kpan_hamm/15.1.0/hammurabi/confs/master/kpan/KPAN_d-c-form-opportunity_MRField.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kpan_d_c_form_opportunity,g_d_c_form_type_id,,,  ,2849692dbb,3.5-Checking the value of the data in the catalog (Value against catalog),"This field must have one of the values ​​recorded in your catalog
E121",,Local,DELIVERED, ,06/11/2024,KPAN_d-c-form-opportunity_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.1.0,3Q24,E121,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kpan_hamm/15.1.0/hammurabi/confs/master/kpan/KPAN_d-c-form-opportunity_MRField.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kpan_d_c_form_opportunity,g_completed_form_ind_type,,,  ,2849692e61,3.5-Checking the value of the data in the catalog (Value against catalog),"This field must have one of the values ​​recorded in your catalog
Y/N",,Local,DELIVERED, ,06/11/2024,KPAN_d-c-form-opportunity_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.1.0,3Q24,Y/N,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kpan_hamm/15.1.0/hammurabi/confs/master/kpan/KPAN_d-c-form-opportunity_MRField.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kpan_d_c_form_opportunity,"g_entity_id
gf_opportunity_id
gf_cutoff_date
g_data_source_origin_type
",,,  ,GL_STR_t_kpan_d_c_form_opportunity_4.2_000,4.2-Duplication of records for the same data (Duplicates),"The Table does not contain duplicates in its Primary Key formed by 
g_entity_id
gf_opportunity_id
gf_cutoff_date
g_data_source_origin_type
",,Local,DELIVERED, ,30/09/2024,KPAN_d-c-form-opportunity_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.0.4,3Q24,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kpan_hamm/15.0.4/hammurabi/confs/master/kpan/KPAN_d-c-form-opportunity_MRField.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kpan_d_c_form_oppy_cust_fields,g_entity_id,,,  ,GL_MVP_t_kpan_d_c_form_oppy_cust_fields_3.1_000,3.1-Checking the null data value (NULL or empty value),The field g_entity_id from the object t_kpan_d_c_form_oppy_cust_fields must be informed,,Local,DELIVERED, ,30/09/2024,KPAN_d-c-form-oppy-cust-fields_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.0.4,3Q24,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kpan_hamm/15.0.4/hammurabi/confs/master/kpan/KPAN_d-c-form-oppy-cust-fields_MRField.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kpan_d_c_form_oppy_cust_fields,g_data_source_origin_type,,,  ,GL_MVP_t_kpan_d_c_form_oppy_cust_fields_3.1_001,3.1-Checking the null data value (NULL or empty value),The field g_data_source_origin_type from the object t_kpan_d_c_form_oppy_cust_fields must be informed,,Local,DELIVERED, ,30/09/2024,KPAN_d-c-form-oppy-cust-fields_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.0.4,3Q24,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kpan_hamm/15.0.4/hammurabi/confs/master/kpan/KPAN_d-c-form-oppy-cust-fields_MRField.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kpan_d_c_form_oppy_cust_fields,gf_opportunity_id,,,  ,GL_MVP_t_kpan_d_c_form_oppy_cust_fields_3.1_002,3.1-Checking the null data value (NULL or empty value),The field gf_opportunity_id from the object t_kpan_d_c_form_oppy_cust_fields must be informed,,Local,DELIVERED, ,30/09/2024,KPAN_d-c-form-oppy-cust-fields_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.0.4,3Q24,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kpan_hamm/15.0.4/hammurabi/confs/master/kpan/KPAN_d-c-form-oppy-cust-fields_MRField.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kpan_d_c_form_oppy_cust_fields,g_d_c_form_custom_field_id,,,  ,GL_MVP_t_kpan_d_c_form_oppy_cust_fields_3.1_003,3.1-Checking the null data value (NULL or empty value),The field g_d_c_form_custom_field_id from the object t_kpan_d_c_form_oppy_cust_fields must be informed,,Local,DELIVERED, ,30/09/2024,KPAN_d-c-form-oppy-cust-fields_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.0.4,3Q24,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kpan_hamm/15.0.4/hammurabi/confs/master/kpan/KPAN_d-c-form-oppy-cust-fields_MRField.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kpan_d_c_form_oppy_cust_fields,g_entity_id,,,  ,GL_MVP_t_kpan_d_c_form_oppy_cust_fields_3.2_000,3.2-Checking the format of the field (Data type and format),The data value complies with the required format: ALPHANUMERIC(6),,Local,DELIVERED, ,30/09/2024,KPAN_d-c-form-oppy-cust-fields_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.0.4,3Q24,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kpan_hamm/15.0.4/hammurabi/confs/master/kpan/KPAN_d-c-form-oppy-cust-fields_MRField.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kpan_d_c_form_oppy_cust_fields,g_data_source_origin_type,,,  ,GL_MVP_t_kpan_d_c_form_oppy_cust_fields_3.2_001,3.2-Checking the format of the field (Data type and format),The data value complies with the required format: ALPHANUMERIC(8),,Local,DELIVERED, ,30/09/2024,KPAN_d-c-form-oppy-cust-fields_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.0.4,3Q24,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kpan_hamm/15.0.4/hammurabi/confs/master/kpan/KPAN_d-c-form-oppy-cust-fields_MRField.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kpan_d_c_form_oppy_cust_fields,gf_opportunity_id,,,  ,GL_MVP_t_kpan_d_c_form_oppy_cust_fields_3.2_002,3.2-Checking the format of the field (Data type and format),The data value complies with the required format: ALPHANUMERIC(50),,Local,DELIVERED, ,30/09/2024,KPAN_d-c-form-oppy-cust-fields_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.0.4,3Q24,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kpan_hamm/15.0.4/hammurabi/confs/master/kpan/KPAN_d-c-form-oppy-cust-fields_MRField.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kpan_d_c_form_oppy_cust_fields,g_d_c_form_custom_field_id,,,  ,GL_MVP_t_kpan_d_c_form_oppy_cust_fields_3.2_003,3.2-Checking the format of the field (Data type and format),The data value complies with the required format: ALPHANUMERIC(50),,Local,DELIVERED, ,30/09/2024,KPAN_d-c-form-oppy-cust-fields_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.0.4,3Q24,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kpan_hamm/15.0.4/hammurabi/confs/master/kpan/KPAN_d-c-form-oppy-cust-fields_MRField.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kpan_d_c_form_oppy_cust_fields,g_data_source_origin_type,,,  ,2849692f1a,3.5-Checking the value of the data in the catalog (Value against catalog),"This field must have one of the values ​​recorded in your catalog
D056",,Local,DELIVERED, ,06/11/2024,KPAN_d-c-form-oppy-cust-fields_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.1.0,3Q24,D056,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kpan_hamm/15.1.0/hammurabi/confs/master/kpan/KPAN_d-c-form-oppy-cust-fields_MRField.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kpan_d_c_form_oppy_cust_fields,g_d_c_form_custom_field_id,,,  ,2849692fe4,3.5-Checking the value of the data in the catalog (Value against catalog),"This field must have one of the values ​​recorded in your catalog
E129",,Local,DELIVERED, ,06/11/2024,KPAN_d-c-form-oppy-cust-fields_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.1.0,3Q24,E129,FALSE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kpan_hamm/15.1.0/hammurabi/confs/master/kpan/KPAN_d-c-form-oppy-cust-fields_MRField.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kpan_d_c_form_oppy_cust_fields,"gf_cutoff_date
g_entity_id
g_data_source_origin_type
gf_opportunity_id
g_d_c_form_custom_field_id
",,,  ,GL_STR_t_kpan_d_c_form_oppy_cust_fields_4.2_000,4.2-Duplication of records for the same data (Duplicates),"The Table does not contain duplicates in its Primary Key formed by 
gf_cutoff_date
g_entity_id
g_data_source_origin_type
gf_opportunity_id
g_d_c_form_custom_field_id
",,Local,DELIVERED, ,30/09/2024,KPAN_d-c-form-oppy-cust-fields_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.0.4,3Q24,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kpan_hamm/15.0.4/hammurabi/confs/master/kpan/KPAN_d-c-form-oppy-cust-fields_MRField.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kctd_ip_device,gf_start_app_appsflyer_sdk_id,,,  ,GL_MVP_t_kctd_ip_device_3.1_000,3.1-Checking the null data value (NULL or empty value),The field gf_start_app_appsflyer_sdk_id from the object t_kctd_ip_device must be informed,,Local,DELIVERED, ,30/09/2024,KCTD_ip-device_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.0.4,3Q24,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kctd_hamm/15.0.4/hammurabi/confs/master/kctd/KCTD_ip-device_MRField.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kctd_ip_device,g_event_name,,,  ,GL_MVP_t_kctd_ip_device_3.1_001,3.1-Checking the null data value (NULL or empty value),The field g_event_name from the object t_kctd_ip_device must be informed,,Local,DELIVERED, ,30/09/2024,KCTD_ip-device_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.0.4,3Q24,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kctd_hamm/15.0.4/hammurabi/confs/master/kctd/KCTD_ip-device_MRField.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kctd_ip_device,gf_source_name_id,,,  ,GL_MVP_t_kctd_ip_device_3.1_002,3.1-Checking the null data value (NULL or empty value),The field gf_source_name_id from the object t_kctd_ip_device must be informed,,Local,DELIVERED, ,30/09/2024,KCTD_ip-device_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.0.4,3Q24,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kctd_hamm/15.0.4/hammurabi/confs/master/kctd/KCTD_ip-device_MRField.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kctd_ip_device,gf_start_app_appsflyer_sdk_id,,,  ,GL_MVP_t_kctd_ip_device_3.2_000,3.2-Checking the format of the field (Data type and format),The data value complies with the required format: ALPHANUMERIC(60),,Local,DELIVERED, ,30/09/2024,KCTD_ip-device_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.0.4,3Q24,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kctd_hamm/15.0.4/hammurabi/confs/master/kctd/KCTD_ip-device_MRField.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kctd_ip_device,g_event_name,,,  ,GL_MVP_t_kctd_ip_device_3.2_001,3.2-Checking the format of the field (Data type and format),The data value complies with the required format: ALPHANUMERIC(80),,Local,DELIVERED, ,30/09/2024,KCTD_ip-device_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.0.4,3Q24,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kctd_hamm/15.0.4/hammurabi/confs/master/kctd/KCTD_ip-device_MRField.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kctd_ip_device,gf_source_name_id,,,  ,GL_MVP_t_kctd_ip_device_3.2_002,3.2-Checking the format of the field (Data type and format),The data value complies with the required format: ALPHANUMERIC(256),,Local,DELIVERED, ,30/09/2024,KCTD_ip-device_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.0.4,3Q24,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kctd_hamm/15.0.4/hammurabi/confs/master/kctd/KCTD_ip-device_MRField.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kctd_ip_device,"gf_cutoff_date
gf_start_app_appsflyer_sdk_id
gf_event_date
g_event_name
",,,  ,GL_STR_t_kctd_ip_device_4.2_000,4.2-Duplication of records for the same data (Duplicates),"The Table does not contain duplicates in its Primary Key formed by 
gf_cutoff_date
gf_start_app_appsflyer_sdk_id
gf_event_date
g_event_name
",,Local,DELIVERED, ,30/09/2024,KCTD_ip-device_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.0.4,3Q24,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kctd_hamm/15.0.4/hammurabi/confs/master/kctd/KCTD_ip-device_MRField.conf,
MVP DQ MODELLING,Stock,DPOw Client Solutions,t_kctd_event_information,g_event_name,,,  ,GL_MVP_t_kctd_event_information_3.1_000,3.1-Checking the null data value (NULL or empty value),The field g_event_name from the object t_kctd_event_information must be informed,,Local,DELIVERED, ,30/09/2024,KCTD_event-information_MRField.conf,CLIENT SOLUTIONS,FINISHED,15.0.4,3Q24,N/A,TRUE,CUTOFF_DATE: Date of the data,https://artifactory.globaldevtools.bbva.com/ui/repos/tree/General/gl-datio-spark-libs-maven-local/com/bbva/gl/dh/360/confs/kctd_hamm/15.0.4/hammurabi/confs/master/kctd/KCTD_event-information_MRField.conf,
