ids;subset;naming_set;tablas;ID RULE;Subset;DEFINITION PERIOD
28075aaba3;g_person_role_type is not null and g_person_role_type != '';{'g_person_role_type'};t_kcpg_appl_cust_perst;28075aaba3;Distinto de null o vacío;3Q24
28075af28c;g_country_id is not null and g_country_id != '';{'g_country_id'};t_kcpg_appl_cust_perst;28075af28c;Distinto de null o vacío;3Q24
28086ad347;g_inv_inf_cons_period_type is not null and g_inv_inf_cons_period_type != '';{'g_inv_inf_cons_period_type'};t_kcpg_appl_cust_perst;28086ad347;Distinto de null o vacío;3Q24
28075ce40e;g_entific_id is not null and g_entific_id != '';{'g_entific_id'};t_kcpg_appl_cust_perst;28075ce40e;Distinto de null o vacío;3Q24
27e504abf1;g_country_id is not null and g_country_id != '';{'g_country_id'};t_kcpg_budget_contract_trip;27e504abf1;Distinto de Null o vacío;2Q24
27e504ac6a;g_entific_id is not null and g_entific_id != '';{'g_entific_id'};t_kcpg_budget_contract_trip;27e504ac6a;Distinto de Null o vacío;2Q24
27e504acfe;g_country_id is not null and g_country_id != '';{'g_country_id'};t_kcpg_budget_cust_trip;27e504acfe;Distinto de Null o vacío;2Q24
27e504ad6e;g_currency_id is not null and g_currency_id != '';{'g_currency_id'};t_kcpg_budget_cust_trip;27e504ad6e;Distinto de Null o vacío;2Q24
27e504add0;g_entific_id is not null and g_entific_id != '';{'g_entific_id'};t_kcpg_budget_cust_trip;27e504add0;Distinto de Null o vacío;2Q24
283b6a2d45;gf_goal_ctr_linkage_date is not null;{'gf_customer_goal_id'};t_kcpg_customer_cust_prod_mp;283b6a2d45;si gf_goal_ctr_linkage_date viene informado;3Q24
283b6a2e6e;gf_invest_goal_id is not null and gf_invest_goal_id != '';{'gf_goal_origin_id'};t_kcpg_customer_cust_prod_mp;283b6a2e6e;si gf_invest_goal_id viene informado;3Q24
283b6a1dbe;gf_goal_origin_id is not null;{'gf_goal_ctr_linkage_date'};t_kcpg_customer_cust_prod_mp;283b6a1dbe;si gf_goal_origin_id viene informado;3Q24
