ids;naming_set;tablas;subset;datavaluespath;values;datavaluescolumn;datavaluessubset;ID RULE;CATALOG (TAXONOMY/STATIC) (3.5-6.1-6.10);Frequency of measurement;Subset;DEFINITION PERIOD;PUBLICATION DATE;STATUS DEVELOPMENT;STATUS IMPLANTATION;Parameters;datavaluespath_str;datavaluessubset_gcatalogid;datavaluessubset_gffrequencytype
282f87a0b4;{'g_esg_bond_type_id'};t_l9ct_green_bonds_secty_flag;g_esg_bond_type_id is not null;['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='B239' and gf_frequency_type='D';282f87a0b4;B239;Daily;No debe aplicarse cuando el campo sea nulo.;1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;B239;D
GL_DOM_t_rzua_sust_operations_eod_3.5_001;{'gf_sustainability_category_id'};t_rzua_sust_operations_eod;gf_sustainability_mark_id = 'C593' and (date_format(gf_acquisition_sust_data_date, 'y M') = date_format('CUTOFF_DATE', 'y M'));['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='C593' and gf_frequency_type='D' and gf_catalog_atrb_val1_name = 'C593' and g_catalog_situtn_type = 'A' and gf_cutoff_date='CUTOFF_DATE';GL_DOM_t_rzua_sust_operations_eod_3.5_001;C593;Daily;"gf_sustainability_mark_id igual a C593 y gf_acquisition_sust_data_date
mismo mes que gf_cutoff_date";1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;C593;D
GL_DOM_t_rzua_sust_operations_eod_3.5_002;{'gf_sustainability_category_id'};t_rzua_sust_operations_eod;gf_sustainability_mark_id = 'RBCR' and (date_format(gf_acquisition_sust_data_date, 'y M') = date_format('CUTOFF_DATE', 'y M'));['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='RBCR' and gf_frequency_type='D' and gf_catalog_atrb_val1_name = 'RBCR' and g_catalog_situtn_type = 'A' and gf_cutoff_date='CUTOFF_DATE';GL_DOM_t_rzua_sust_operations_eod_3.5_002;RBCR;Daily;"gf_sustainability_mark_id igual a RBCR y gf_acquisition_sust_data_date
mismo mes que gf_cutoff_date";1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;RBCR;D
GL_DOM_t_rzua_sust_operations_eod_3.5_003;{'gf_sustainability_category_id'};t_rzua_sust_operations_eod;gf_sustainability_mark_id = 'RBES' and (date_format(gf_acquisition_sust_data_date, 'y M') = date_format('CUTOFF_DATE', 'y M'));['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='RBES' and gf_frequency_type='D' and gf_catalog_atrb_val1_name = 'RBES' and g_catalog_situtn_type = 'A' and gf_cutoff_date='CUTOFF_DATE';GL_DOM_t_rzua_sust_operations_eod_3.5_003;RBES;Daily;"gf_sustainability_mark_id igual a RBES y gf_acquisition_sust_data_date
mismo mes que gf_cutoff_date";1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;RBES;D
GL_DOM_t_rzua_sust_operations_eod_3.5_004;{'gf_sustainability_category_id'};t_rzua_sust_operations_eod;gf_sustainability_mark_id = 'RBGR' and (date_format(gf_acquisition_sust_data_date, 'y M') = date_format('CUTOFF_DATE', 'y M'));['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='RBGR' and gf_frequency_type='D' and gf_catalog_atrb_val1_name = 'RBGR' and g_catalog_situtn_type = 'A' and gf_cutoff_date='CUTOFF_DATE';GL_DOM_t_rzua_sust_operations_eod_3.5_004;RBGR;Daily;"gf_sustainability_mark_id es igual a RBGR y gf_acquisition_sust_data_date
mismo mes que gf_cutoff_date";1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;RBGR;D
GL_DOM_t_rzua_sust_operations_eod_3.5_005;{'gf_sustainability_category_id'};t_rzua_sust_operations_eod;gf_sustainability_mark_id = 'RBOI' and (date_format(gf_acquisition_sust_data_date, 'y M') = date_format('CUTOFF_DATE', 'y M'));['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='RBOI' and gf_frequency_type='D' and gf_catalog_atrb_val1_name = 'RBOI' and g_catalog_situtn_type = 'A' and gf_cutoff_date='CUTOFF_DATE';GL_DOM_t_rzua_sust_operations_eod_3.5_005;RBOI;Daily;"gf_sustainability_mark_id es igual a RBOI y gf_acquisition_sust_data_date
mismo mes que gf_cutoff_date";1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;RBOI;D
GL_DOM_t_rzua_sust_operations_eod_3.5_006;{'gf_sustainability_category_id'};t_rzua_sust_operations_eod;gf_sustainability_mark_id = 'RBSO' and (date_format(gf_acquisition_sust_data_date, 'y M') = date_format('CUTOFF_DATE', 'y M'));['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='RBSO' and gf_frequency_type='D' and gf_catalog_atrb_val1_name = 'RBSO' and g_catalog_situtn_type = 'A' and gf_cutoff_date='CUTOFF_DATE';GL_DOM_t_rzua_sust_operations_eod_3.5_006;RBSO;Daily;"gf_sustainability_mark_id es igual a RBSO y gf_acquisition_sust_data_date
mismo mes que gf_cutoff_date";1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;RBSO;D
GL_DOM_t_rzua_sust_operations_eod_3.5_007;{'gf_sustainability_subcatg_id'};t_rzua_sust_operations_eod;gf_sustainability_mark_id = 'C593' and (date_format(gf_acquisition_sust_data_date, 'y M') = date_format('CUTOFF_DATE', 'y M'));['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='C593' and gf_frequency_type='D' and gf_catalog_atrb_val1_name != 'C593' and g_catalog_situtn_type = 'A' and gf_cutoff_date='CUTOFF_DATE';GL_DOM_t_rzua_sust_operations_eod_3.5_007;"C593
";Daily;"gf_sustainability_mark_id igual a C593 y gf_acquisition_sust_data_date
mismo mes que gf_cutoff_date";1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;C593;D
GL_DOM_t_rzua_sust_operations_eod_3.5_008;{'gf_sustainability_subcatg_id'};t_rzua_sust_operations_eod;gf_sustainability_mark_id = 'RBCR' and (date_format(gf_acquisition_sust_data_date, 'y M') = date_format('CUTOFF_DATE', 'y M'));['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='RBCR' and gf_frequency_type='D' and gf_catalog_atrb_val1_name != 'RBCR' and g_catalog_situtn_type = 'A' and gf_cutoff_date='CUTOFF_DATE';GL_DOM_t_rzua_sust_operations_eod_3.5_008;RBCR;Daily;"gf_sustainability_mark_id igual a RBCR y gf_acquisition_sust_data_date
mismo mes que gf_cutoff_date";1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;RBCR;D
GL_DOM_t_rzua_sust_operations_eod_3.5_009;{'gf_sustainability_subcatg_id'};t_rzua_sust_operations_eod;gf_sustainability_mark_id = 'RBES' and (date_format(gf_acquisition_sust_data_date, 'y M') = date_format('CUTOFF_DATE', 'y M'));['/data/master/ktny/data/t_ktny_catalog_values_taxonomy/'];;gf_catalog_val_id;g_catalog_id ='RBES' and gf_frequency_type='D' and gf_catalog_atrb_val1_name != 'RBES' and g_catalog_situtn_type = 'A' and gf_cutoff_date='CUTOFF_DATE';GL_DOM_t_rzua_sust_operations_eod_3.5_009;RBES;Daily;"gf_sustainability_mark_id igual a RBES y gf_acquisition_sust_data_date
mismo mes que gf_cutoff_date";1Q25;Feb_2025;FINISHED;DELIVERED;CUTOFF_DATE: Date of the data;/data/master/ktny/data/t_ktny_catalog_values_taxonomy/;RBES;D
