,archivos,tablas,ids,namings,criticals,type_rules,datavaluescolumn,datavaluessubset,datavaluespath,values,subset,drilldown,acceptanceMin,rule
1379,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/kceg/glgldh360gloqlt/hammurabi/confs/master/kceg/KCEG_fx-cust-scores_KCOG_entity_MMRule.conf,t_kceg_fx_cust_scores,28b8099fb8,g_entity_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,gf_cutoff_date='CUTOFF_DATE',['MASTERSCHEMA.t_kcog_entity'],,,,95,4.3
1517,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/kcpg/glgldh360gloqlt/hammurabi/confs/master/kcpg/KCPG_customer-cust-prod-mp_KCOG_entity_MMRule.conf,t_kcpg_customer_cust_prod_mp,283b6a2522,g_entity_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['MASTERSCHEMA.t_kcog_entity'],,,,100,4.3
1518,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/kcpg/glgldh360gloqlt/hammurabi/confs/master/kcpg/KCPG_customer-cust-prod-mp_KSAN_contract-global-local_MMRule.conf,t_kcpg_customer_cust_prod_mp,283b6a2742,g_contract_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['MASTERSCHEMA.t_ksan_contract_global_local'],,,,100,4.3
1947,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/kcpg/glgldh360gloqlt/hammurabi/confs/master/kcpg/KCPG_rules-movements_KCPG_general-goals_MMRule.conf,t_kcpg_rules_movements,GL_DOM_t_kcpg_rules_movements_4.3_001,gf_goal_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,gf_cutoff_date='CUTOFF_DATE',['/data/master/kcpg/data/t_kcpg_general_goals/'],,gf_goal_id is not null and gf_goal_id != '',,100,4.3
1948,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/kcpg/glgldh360gloqlt/hammurabi/confs/master/kcpg/KCPG_rules-movements_KCPG_goal-rules_MMRule.conf,t_kcpg_rules_movements,GL_DOM_t_kcpg_rules_movements_4.3_000,gf_goal_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,gf_cutoff_date='CUTOFF_DATE',['/data/master/kcpg/data/t_kcpg_goal_rules/'],,gf_goal_id is not null and gf_goal_id != '',,100,4.3
2256,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/kfcm/glgldh360gloqlt/hammurabi/confs/master/kfcm/KFCM_fdbk-filled-form-field_KFCM_feedback-form-shown_MMRule.conf,t_kfcm_fdbk_filled_form_field,2827d0bc0d,gf_form_filled_date,False,com.datio.hammurabi.rules.integrity.ValueComparisonRule,,gf_cutoff_date='CUTOFF_DATE',['/data/master/kfcm/data/t_kfcm_feedback_form_shown/'],,gf_form_filled_date is not null,,100,5.2
2306,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/kfcm/glgldh360gloqlt/hammurabi/confs/master/kfcm/KFCM_feedback-filled-form_KFCM_feedback-form-shown_MMRule.conf,t_kfcm_feedback_filled_form,2827d0bd26,gf_form_filled_date,False,com.datio.hammurabi.rules.integrity.ValueComparisonRule,,gf_cutoff_date='CUTOFF_DATE',['/data/master/kfcm/data/t_kfcm_feedback_form_shown/'],,gf_form_filled_date is not null,,100,5.2
2328,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/kfcm/glgldh360gloqlt/hammurabi/confs/master/kfcm/KFCM_feedback-form-shown_KCOG_country_MMRule.conf,t_kfcm_feedback_form_shown,28cb03b7fd,g_country_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,gf_cutoff_date='CUTOFF_DATE',['MASTERSCHEMA.t_kcog_country'],,,,95,4.3
2473,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/kmig/glgldh360gloqlt/hammurabi/confs/master/kmig/KMIG_customer-allocation_KCOG_branch_MMRule.conf,t_kmig_customer_allocation,28243e593d,g_branch_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kcog/data/t_kcog_branch/'],,g_branch_id is not null and g_branch_id != '',,100,4.3
2476,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/kmig/glgldh360gloqlt/hammurabi/confs/master/kmig/KMIG_customer-allocation_KCOG_entity_MMRule.conf,t_kmig_customer_allocation,289613a9ed,gf_entity_id,False,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,gf_cutoff_date='CUTOFF_DATE',['MASTERSCHEMA.t_kcog_entity'],,,,95,4.3
