,archivos,tablas,ids,namings,criticals,type_rules,datavaluescolumn,datavaluessubset,datavaluespath,values,subset,drilldown,acceptanceMin,rule
695,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/j7il/glgldh360gloqlt/hammurabi/confs/master/j7il/J7IL_notification-management_KCOG_country_MMRule.conf,t_j7il_notification_management,GL_STR_t_j7il_notification_management_4.3_000,g_country_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kcog/data/t_kcog_country/'],,,,ACCEPTANCE_MIN_KCOG_00,4.3
696,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/j7il/glgldh360gloqlt/hammurabi/confs/master/j7il/J7IL_notification-management_KCOG_entity_MMRule.conf,t_j7il_notification_management,GL_STR_t_j7il_notification_management_4.3_001,g_entity_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kcog/data/t_kcog_entity/'],,,,ACCEPTANCE_MIN_KCOG_00,4.3
728,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/katc/glgldh360gloqlt/hammurabi/confs/master/katc/KATC_attributes-contract-mp_KBTQ_customer-info_MMRule.conf,t_katc_attributes_contract_mp,GL_STR_t_katc_attributes_contract_mp_4.3_000,g_customer_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kbtq/data/t_kbtq_customer_info/'],,,,ACCEPTANCE_MIN_KBTQ_00,4.3
729,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/katc/glgldh360gloqlt/hammurabi/confs/master/katc/KATC_attributes-contract-mp_KCOG_country_MMRule.conf,t_katc_attributes_contract_mp,GL_STR_t_katc_attributes_contract_mp_4.3_001,g_country_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kcog/data/t_kcog_country/'],,,,ACCEPTANCE_MIN_KCOG_00,4.3
730,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/katc/glgldh360gloqlt/hammurabi/confs/master/katc/KATC_attributes-contract-mp_KCOG_currency_MMRule.conf,t_katc_attributes_contract_mp,GL_STR_t_katc_attributes_contract_mp_4.3_002,g_currency_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kcog/data/t_kcog_currency/'],,,,ACCEPTANCE_MIN_KCOG_00,4.3
731,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/katc/glgldh360gloqlt/hammurabi/confs/master/katc/KATC_attributes-contract-mp_KCOG_entity_MMRule.conf,t_katc_attributes_contract_mp,GL_STR_t_katc_attributes_contract_mp_4.3_003,g_entity_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kcog/data/t_kcog_entity/'],,,,ACCEPTANCE_MIN_KCOG_00,4.3
732,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/katc/glgldh360gloqlt/hammurabi/confs/master/katc/KATC_attributes-contract-mp_KSAN_contract-global-local_MMRule.conf,t_katc_attributes_contract_mp,GL_STR_t_katc_attributes_contract_mp_4.3_004,g_contract_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/ksan/data/t_ksan_contract_global_local/'],,,,ACCEPTANCE_MIN_KSAN_00,4.3
760,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/katc/glgldh360gloqlt/hammurabi/confs/master/katc/KATC_attributes-dp_KBTQ_customer-info_MMRule.conf,t_katc_attributes_dp,GL_STR_t_katc_attributes_dp_4.3_002,g_customer_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kbtq/data/t_kbtq_customer_info/'],,,,ACCEPTANCE_MIN_KBTQ_00,4.3
761,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/katc/glgldh360gloqlt/hammurabi/confs/master/katc/KATC_attributes-dp_KCOG_country_MMRule.conf,t_katc_attributes_dp,GL_STR_t_katc_attributes_dp_4.3_000,g_country_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kcog/data/t_kcog_country/'],,,,ACCEPTANCE_MIN_KCOG_00,4.3
762,C:/Users/O005820/Documents/repositorios/GDH_c360_hammurabi_UUAAs/katc/glgldh360gloqlt/hammurabi/confs/master/katc/KATC_attributes-dp_KCOG_currency_MMRule.conf,t_katc_attributes_dp,GL_STR_t_katc_attributes_dp_4.3_003,g_currency_id,True,com.datio.hammurabi.rules.consistence.ValueConciliationRule,,1==1,['/data/master/kcog/data/t_kcog_currency/'],,,,ACCEPTANCE_MIN_KCOG_00,4.3
